inquiry_id,user_id,inquiry_text,status,submitted_at
INQ0001,USER0445,配送業者を指定することはできますか？,完了,2026-02-11 18:00:00
INQ0002,USER0358,アカウントを削除したいです。手順を教えてください。,未対応,2026-02-28 20:42:00
INQ0003,USER0496,誕生日クーポンが届いていません。,未対応,2026-03-10 12:13:00
INQ0004,USER0425,決済エラーが出て注文できません。原因を教えてください。,対応中,2026-03-05 08:20:00
INQ0005,USER0290,商品の使い方が分からないので教えてほしい。,対応中,2026-03-12 18:08:00
INQ0006,USER0051,商品を大量購入したい場合、割引はありますか？,対応中,2026-03-29 01:02:00
INQ0007,USER0440,使用後の返品は受け付けていますか？,対応中,2026-01-03 03:59:00
INQ0008,USER0104,サイズ交換は可能ですか？,完了,2026-02-28 00:27:00
INQ0009,USER0478,コンビニ決済の支払期限が過ぎてしまいました。,未対応,2026-02-08 05:55:00
INQ0010,USER0043,メールアドレスを変更したいです。,完了,2026-03-25 11:16:00
INQ0011,USER0203,商品を大量購入したい場合、割引はありますか？,対応中,2026-03-25 05:03:00
INQ0012,USER0120,誕生日クーポンが届いていません。,完了,2026-04-03 22:48:00
INQ0013,USER0001,クーポンコードが使えませんでした。なぜですか。,対応中,2026-01-12 22:06:00
INQ0014,USER0116,商品在庫はいつ頃復活しますか？,完了,2026-01-10 04:37:00
INQ0015,USER0357,会員ランクはどうすれば上がりますか？,未対応,2026-02-26 00:00:00
INQ0016,USER0245,海外発送は対応していますか？,未対応,2026-02-24 22:08:00
INQ0017,USER0413,返品をしたいのですが、手続き方法を教えてください。,未対応,2026-02-19 02:46:00
INQ0018,USER0154,サイズ交換は可能ですか？,対応中,2026-02-10 11:56:00
INQ0019,USER0347,開封済みの商品でも返品できますか？,未対応,2026-04-10 04:41:00
INQ0020,USER0313,使用後の返品は受け付けていますか？,対応中,2026-03-09 18:00:00
INQ0021,USER0322,開封済みの商品でも返品できますか？,対応中,2026-02-14 23:13:00
INQ0022,USER0441,クーポンコードが使えませんでした。なぜですか。,未対応,2026-03-20 21:28:00
INQ0023,USER0064,御社のSNSアカウントを教えてください。,完了,2026-01-13 04:48:00
INQ0024,USER0162,サイズ交換は可能ですか？,未対応,2026-02-19 11:27:00
INQ0025,USER0128,取扱説明書を紛失したので再送してほしい。,完了,2026-02-05 20:05:00
INQ0026,USER0146,配送日時の指定を変更できますか？,完了,2026-03-18 23:38:00
INQ0027,USER0311,カートに入れた商品の一部が勝手に削除されました。,未対応,2026-02-08 06:33:00
INQ0028,USER0331,不在時の荷物の再配達を依頼したいです。,未対応,2026-04-06 12:18:00
INQ0029,USER0124,商品の使い方が分からないので教えてほしい。,完了,2026-03-05 12:07:00
INQ0030,USER0456,注文した商品がまだ届きません。発送状況を確認してほしい。,対応中,2026-03-18 02:33:00
INQ0031,USER0441,退会理由のアンケートに答えたいです。,対応中,2026-02-10 04:24:00
INQ0032,USER0089,お気に入りリストに追加した商品が消えてしまいました。,未対応,2026-02-16 17:43:00
INQ0033,USER0008,分割払いは可能ですか？,未対応,2026-01-03 18:04:00
INQ0034,USER0204,カートに入れた商品の一部が勝手に削除されました。,対応中,2026-01-06 01:50:00
INQ0035,USER0393,ポイントの有効期限を確認したいです。,対応中,2026-03-22 22:32:00
INQ0036,USER0328,商品の仕様について詳しく知りたいです。,完了,2026-03-31 12:05:00
INQ0037,USER0043,PayPay残高で支払いたいのですが、設定方法は？,未対応,2026-03-20 04:17:00
INQ0038,USER0080,商品の仕様について詳しく知りたいです。,対応中,2026-03-07 06:51:00
INQ0039,USER0391,海外発送は対応していますか？,対応中,2026-02-20 18:40:00
INQ0040,USER0489,領収書の発行をお願いします。,未対応,2026-03-31 13:46:00
INQ0041,USER0223,商品に不良がありました。交換をお願いします。,対応中,2026-02-01 02:59:00
INQ0042,USER0159,返送料はどちらが負担しますか？,未対応,2026-03-20 19:03:00
INQ0043,USER0360,注文した商品がまだ届きません。発送状況を確認してほしい。,未対応,2026-01-02 22:08:00
INQ0044,USER0265,分割払いは可能ですか？,未対応,2026-03-05 11:33:00
INQ0045,USER0400,コンビニ決済の支払期限が過ぎてしまいました。,完了,2026-02-17 04:47:00
INQ0046,USER0414,誕生日クーポンが届いていません。,対応中,2026-01-16 00:21:00
INQ0047,USER0365,退会理由のアンケートに答えたいです。,完了,2026-03-09 02:16:00
INQ0048,USER0262,メールアドレスを変更したいです。,未対応,2026-01-10 15:29:00
INQ0049,USER0189,使用後の返品は受け付けていますか？,対応中,2026-03-05 18:10:00
INQ0050,USER0294,商品に不良がありました。交換をお願いします。,未対応,2026-04-09 03:57:00
INQ0051,USER0023,注文した商品がまだ届きません。発送状況を確認してほしい。,未対応,2026-04-05 16:00:00
INQ0052,USER0197,開封済みの商品でも返品できますか？,未対応,2026-01-06 15:23:00
INQ0053,USER0468,ポイントの有効期限を確認したいです。,未対応,2026-01-05 17:51:00
INQ0054,USER0469,パスワードを忘れてしまいました。リセット方法は？,対応中,2026-02-11 07:26:00
INQ0055,USER0062,カートに入れた商品の一部が勝手に削除されました。,完了,2026-01-10 18:23:00
INQ0056,USER0412,商品在庫はいつ頃復活しますか？,未対応,2026-01-07 05:14:00
INQ0057,USER0239,決済エラーが出て注文できません。原因を教えてください。,対応中,2026-02-21 02:56:00
INQ0058,USER0234,注文した商品がまだ届きません。発送状況を確認してほしい。,対応中,2026-02-11 02:35:00
INQ0059,USER0402,PayPay残高で支払いたいのですが、設定方法は？,完了,2026-01-26 09:36:00
INQ0060,USER0189,御社のSNSアカウントを教えてください。,対応中,2026-03-21 07:29:00
INQ0061,USER0462,商品の仕様について詳しく知りたいです。,未対応,2026-04-09 06:46:00
INQ0062,USER0210,配送日時の指定を変更できますか？,未対応,2026-01-20 00:59:00
INQ0063,USER0430,注文した商品がまだ届きません。発送状況を確認してほしい。,対応中,2026-03-11 11:40:00
INQ0064,USER0435,PayPay残高で支払いたいのですが、設定方法は？,未対応,2026-01-01 21:24:00
INQ0065,USER0215,商品の使い方が分からないので教えてほしい。,未対応,2026-01-27 16:15:00
INQ0066,USER0048,配送先住所を変更したいです。,未対応,2026-01-19 22:17:00
INQ0067,USER0459,メールアドレスを変更したいです。,対応中,2026-03-08 13:44:00
INQ0068,USER0049,カートに入れた商品の一部が勝手に削除されました。,未対応,2026-04-06 02:37:00
INQ0069,USER0304,退会理由のアンケートに答えたいです。,未対応,2026-03-23 12:04:00
INQ0070,USER0122,決済エラーが出て注文できません。原因を教えてください。,対応中,2026-02-25 21:08:00
INQ0071,USER0426,パスワードを忘れてしまいました。リセット方法は？,対応中,2026-02-10 12:44:00
INQ0072,USER0039,返金までにどのくらい時間がかかりますか？,未対応,2026-02-27 08:14:00
INQ0073,USER0080,返品をしたいのですが、手続き方法を教えてください。,未対応,2026-04-10 18:06:00
INQ0074,USER0209,商品に不良がありました。交換をお願いします。,完了,2026-02-27 14:20:00
INQ0075,USER0158,ポイント付与が反映されていません。,対応中,2026-02-15 06:28:00
INQ0076,USER0414,PayPay残高で支払いたいのですが、設定方法は？,完了,2026-01-16 02:10:00
